1005007647894283: rating=4.8, sold=-
1005006966483142: rating=4.9, sold=10k+
1005007552112384: rating=4.5, sold=10k+
1005010037279597: rating=4.9, sold=10k+
1005005412249547: rating=4.9, sold=10k+
1005007778238254: rating=4.6, sold=10k+
1005007064366924: rating=4.6, sold=10k+
1005007011732459: rating=4.9, sold=10k+
1005005649320915: rating=4.6, sold=10k+
1005008735023182: rating=4.7, sold=10k+
1005009960367146: rating=4.9, sold=-
1005009582635020: rating=4.9, sold=10k+
1005007171324084: rating=4.9, sold=10k+
1005006003566195: rating=4.9, sold=10k+
1005005412641310: rating=4.9, sold=10k+
1005005433579004: rating=4.9, sold=10k+
1005004555891377: rating=4.7, sold=10k+
1005007011426792: rating=4.9, sold=10k+
1005006982874424: rating=4.9, sold=10k+
1005007805554273: rating=4.7, sold=-
1005007170729888: rating=4.9, sold=4k+
1005009157717398: rating=4.7, sold=2k+
1005009045188656: rating=4.9, sold=10k+
1005009481102235: rating=4.7, sold=10k+
1005006982715574: rating=4.9, sold=10k+
32804236637: rating=4.9, sold=10k+
1005005214112967: rating=4.5, sold=10k+
1005010653466287: rating=4.9, sold=10k+
1005007306752399: rating=4.9, sold=10k+
1005007306778570: rating=4.7, sold=50k+
1005007597980518: rating=4.5, sold=10k+
1005002522072774: rating=4.7, sold=10k+
1005006861849175: rating=4.9, sold=10k+
1005007369749167: rating=4.7, sold=10k+
1005007936775186: rating=4.5, sold=10k+
1005003877962998: rating=4.4, sold=10k+
1005010043948867: rating=4.9, sold=10k+
1005008558339242: rating=4.9, sold=10k+
1005004634720480: rating=4.9, sold=5k+
1005006661073615: rating=4.5, sold=5k+
1005006323216456: rating=4.6, sold=5k+
1005006819529807: rating=4.5, sold=5k+
1005003961897141: rating=4.6, sold=5k+
1005006860902253: rating=4.9, sold=5k+
1005007987635566: rating=4.9, sold=10k+
1005009889105186: rating=4.7, sold=10k+
1005007096666917: rating=4.9, sold=50k+
1005006956233010: rating=4.6, sold=50k+
1005006997148658: rating=4.9, sold=10k+
1005009351116349: rating=4.9, sold=10k+
1005003666463879: rating=4.8, sold=379
1005008498550595: rating=4.6, sold=349
1005006919878263: rating=4.8, sold=312
1005007344926513: rating=4.9, sold=10k+
